#Author: Pablo Motta
#Double-rectangular arrangement 2d
#Horn number RA(deg) DEC(deg) 
133 -2.978123 -21.890929 
70 1.125118 -24.925995 
131 -2.971892 -21.590280 
8 2.780058 -12.568472 
84 -1.063943 -16.465874 
44 0.999287 -13.778393 
140 -2.978670 -24.354816 
27 2.963757 -21.189695 
17 2.885734 -16.749040 
52 1.071972 -17.860396 
4 2.810980 -10.573562 
100 -1.110602 -23.262708 
19 2.890312 -17.047786 
136 -2.965809 -23.800498 
18 2.888011 -16.898407 
86 -1.074408 -18.259106 
113 -2.786129 -13.116277 
108 -2.814712 -10.972771 
39 1.041717 -11.636306 
92 -1.090046 -20.605361 
64 1.104854 -22.559266 
59 1.088271 -20.355381 
89 -1.076907 -18.657974 
122 -2.894200 -17.296782 
62 1.102857 -22.308319 
85 -1.064767 -16.615231 
57 1.086177 -20.055539 
10 2.783334 -12.867299 
103 -1.127440 -25.178711 
66 1.120124 -24.370698 
22 2.921538 -18.941459 
102 -1.126507 -25.077601 
79 -1.001680 -14.325916 
43 0.998863 -13.678833 
7 2.778984 -12.468849 
21 2.918930 -18.791830 
23 2.924172 -19.091115 
53 1.072878 -18.009895 
71 -1.042280 -11.785856 
50 1.061787 -16.067634 
87 -1.075337 -18.408662 
65 1.106066 -22.709903 
16 2.831492 -16.600329 
33 3.014445 -23.548133 
48 1.060470 -15.818761 
98 -1.108522 -23.011340 
24 2.926830 -19.240799 
107 -2.813296 -10.823092 
75 -0.993462 -12.334256 
30 2.971892 -21.590280 
14 2.807329 -14.858377 
35 2.965809 -23.800498 
112 -2.784445 -12.966895 
11 2.802227 -14.460254 
5 2.812363 -10.723290 
80 -1.002351 -14.475228 
63 1.104052 -22.458870 
118 -2.812586 -15.256493 
93 -1.091124 -20.755401 
61 1.101674 -22.157819 
15 2.809282 -15.007670 
20 2.891859 -17.147380 
37 1.040794 -11.387004 
9 2.781686 -12.717893 
126 -2.928617 -19.340604 
49 1.061257 -15.968083 
6 2.777390 -12.319399 
125 -2.900557 -17.695268 
60 1.089333 -20.505357 
1 2.807392 -10.174135 
34 3.016762 -23.648786 
137 -2.969276 -23.951592 
91 -1.089333 -20.505357 
115 -2.788981 -13.365218 
69 1.123740 -24.774460 
119 -2.814597 -15.405788 
123 -2.896564 -17.446201 
78 -1.001017 -14.176600 
130 -2.939576 -19.939722 
90 -1.077862 -18.807595 
29 2.915293 -21.440690 
40 1.042280 -11.785856 
106 -2.812363 -10.723290 
45 0.999929 -13.927727 
134 -2.980225 -21.991188 
110 -2.817119 -11.222177 
25 2.928617 -19.340604 
132 -2.974993 -21.740581 
46 1.007262 -15.520367 
99 -1.109767 -23.162142 
97 -1.107288 -22.860594 
76 -0.999929 -13.927727 
116 -2.809282 -15.007670 
83 -1.063398 -16.366308 
82 -1.062588 -16.216967 
121 -2.891859 -17.147380 
36 1.040250 -11.237391 
58 1.087219 -20.205442 
12 2.804122 -14.609552 
129 -2.936797 -19.789895 
3 2.809618 -10.423803 
47 1.007995 -15.669678 
120 -2.816631 -15.555086 
38 1.041345 -11.536593 
73 -0.992343 -12.035287 
135 -2.983401 -22.141616 
94 -1.092212 -20.905480 
109 -2.816149 -11.122423 
117 -2.810596 -15.107199 
74 -0.992899 -12.184781 
32 3.010996 -23.397202 
77 -1.000579 -14.077053 
114 -2.787833 -13.265646 
13 2.805397 -14.709083 
31 3.007576 -23.246330 
42 0.998233 -13.529485 
72 -0.991977 -11.935613 
105 -1.130271 -25.482235 
138 -2.972773 -24.102747 
101 -1.125118 -24.925995 
26 2.960757 -21.039554 
96 -1.106066 -22.709903 
95 -1.093310 -21.055599 
51 1.071075 -17.710917 
67 1.121471 -24.522053 
81 -1.061787 -16.067634 
128 -2.934045 -19.640100 
104 -1.128849 -25.330437 
127 -2.931318 -19.490337 
41 0.997610 -13.380127 
68 1.122374 -24.622993 
28 2.965772 -21.289812 
111 -2.783334 -12.867299 
54 1.073487 -18.109573 
139 -2.975122 -24.203553 
88 -1.076276 -18.558242 
124 -2.898952 -17.595635 
56 1.085144 -19.905671 
55 1.074408 -18.259106 
2 2.808721 -10.323947 
